scope;metric_id;metric_code;metric_desc;metric_max;metric_min;metric_hint;stats_per;stats_avg;stats_stddev;stats_max;stats_total;stats_max_in_range;target_name;target_source;target_package;target_value;target_in_range
server-plugin-buildspec-maven;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;4;3,559;9;;;determineDockerImage;MavenJobSuggestion.java;io.onedev.server.plugin.buildspec.maven;9;
server-plugin-buildspec-maven;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;4;3,559;9;;;suggestJobs;MavenJobSuggestion.java;io.onedev.server.plugin.buildspec.maven;2;
server-plugin-buildspec-maven;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;4;3,559;9;;;configure;MavenModule.java;io.onedev.server.plugin.buildspec.maven;1;
server-plugin-buildspec-maven;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;4;3,559;9;;;MavenModule.anonymous#~configure[#getScript;MavenModule.java;io.onedev.server.plugin.buildspec.maven;1;
server-plugin-buildspec-maven;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;0,667;0,943;2;;;suggestJobs;MavenJobSuggestion.java;io.onedev.server.plugin.buildspec.maven;2;
server-plugin-buildspec-maven;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;0,667;0,943;2;;;determineDockerImage;MavenJobSuggestion.java;io.onedev.server.plugin.buildspec.maven;0;
server-plugin-buildspec-maven;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;0,667;0,943;2;;;configure;MavenModule.java;io.onedev.server.plugin.buildspec.maven;0;
server-plugin-buildspec-maven;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;0,667;0,943;2;;;MavenModule.anonymous#~configure[#getScript;MavenModule.java;io.onedev.server.plugin.buildspec.maven;0;
server-plugin-buildspec-maven;NBD;NBD_method;Nested Block Depth;5;;use Extract-method to split the method up;method;2,667;0,943;4;;;determineDockerImage;MavenJobSuggestion.java;io.onedev.server.plugin.buildspec.maven;4;
server-plugin-buildspec-maven;NBD;NBD_method;Nested Block Depth;5;;use Extract-method to split the method up;method;2,667;0,943;4;;;suggestJobs;MavenJobSuggestion.java;io.onedev.server.plugin.buildspec.maven;2;
server-plugin-buildspec-maven;NBD;NBD_method;Nested Block Depth;5;;use Extract-method to split the method up;method;2,667;0,943;4;;;configure;MavenModule.java;io.onedev.server.plugin.buildspec.maven;2;
server-plugin-buildspec-maven;NBD;NBD_method;Nested Block Depth;5;;use Extract-method to split the method up;method;2,667;0,943;4;;;MavenModule.anonymous#~configure[#getScript;MavenModule.java;io.onedev.server.plugin.buildspec.maven;1;
server-plugin-buildspec-maven;CA;CA_packageFragment;Afferent Coupling;;;;packageFragment;0;0;0;;;io.onedev.server.plugin.buildspec.maven;;io.onedev.server.plugin.buildspec.maven;0;
server-plugin-buildspec-maven;CE;CE_packageFragment;Efferent Coupling;;;;packageFragment;2;0;2;;;io.onedev.server.plugin.buildspec.maven;;io.onedev.server.plugin.buildspec.maven;2;
server-plugin-buildspec-maven;RMI;RMI_packageFragment;Instability;;;;packageFragment;1;0;1;;;io.onedev.server.plugin.buildspec.maven;;io.onedev.server.plugin.buildspec.maven;1;
server-plugin-buildspec-maven;RMA;RMA_packageFragment;Abstractness;;;;packageFragment;0;0;0;;;io.onedev.server.plugin.buildspec.maven;;io.onedev.server.plugin.buildspec.maven;0;
server-plugin-buildspec-maven;RMD;RMD_packageFragment;Normalized Distance;;;;packageFragment;0;0;0;;;io.onedev.server.plugin.buildspec.maven;;io.onedev.server.plugin.buildspec.maven;0;
server-plugin-buildspec-maven;DIT;DIT_type;Depth of Inheritance Tree;;;;type;2;1;3;;;MavenModule;MavenModule.java;io.onedev.server.plugin.buildspec.maven;3;
server-plugin-buildspec-maven;DIT;DIT_type;Depth of Inheritance Tree;;;;type;2;1;3;;;MavenModule.anonymous#~configure[;MavenModule.java;io.onedev.server.plugin.buildspec.maven;2;
