scope;metric_id;metric_code;metric_desc;metric_max;metric_min;metric_hint;stats_per;stats_avg;stats_stddev;stats_max;stats_total;stats_max_in_range;target_name;target_source;target_package;target_value;target_in_range
server-plugin-buildspec-node;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;7,5;12,352;35;;false;suggestJobs;NodeJobSuggestion.java;io.onedev.server.plugin.buildspec.node;35;false
server-plugin-buildspec-node;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;7,5;12,352;35;;false;determineProjectVersion;NodeJobSuggestion.java;io.onedev.server.plugin.buildspec.node;4;
server-plugin-buildspec-node;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;7,5;12,352;35;;false;getPackageJson;NodeJobSuggestion.java;io.onedev.server.plugin.buildspec.node;3;
server-plugin-buildspec-node;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;7,5;12,352;35;;false;setupCaches;NodeJobSuggestion.java;io.onedev.server.plugin.buildspec.node;1;
server-plugin-buildspec-node;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;7,5;12,352;35;;false;setupTriggers;NodeJobSuggestion.java;io.onedev.server.plugin.buildspec.node;1;
server-plugin-buildspec-node;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;7,5;12,352;35;;false;configure;NodePluginModule.java;io.onedev.server.plugin.buildspec.node;1;
server-plugin-buildspec-node;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;7,5;12,352;35;;false;NodePluginModule.anonymous#~configure[#getScript;NodePluginModule.java;io.onedev.server.plugin.buildspec.node;1;
server-plugin-buildspec-node;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;1;0,816;2;;;getPackageJson;NodeJobSuggestion.java;io.onedev.server.plugin.buildspec.node;2;
server-plugin-buildspec-node;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;1;0,816;2;;;suggestJobs;NodeJobSuggestion.java;io.onedev.server.plugin.buildspec.node;2;
server-plugin-buildspec-node;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;1;0,816;2;;;setupCaches;NodeJobSuggestion.java;io.onedev.server.plugin.buildspec.node;1;
server-plugin-buildspec-node;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;1;0,816;2;;;setupTriggers;NodeJobSuggestion.java;io.onedev.server.plugin.buildspec.node;1;
server-plugin-buildspec-node;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;1;0,816;2;;;determineProjectVersion;NodeJobSuggestion.java;io.onedev.server.plugin.buildspec.node;0;
server-plugin-buildspec-node;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;1;0,816;2;;;configure;NodePluginModule.java;io.onedev.server.plugin.buildspec.node;0;
