scope;metric_id;metric_code;metric_desc;metric_max;metric_min;metric_hint;stats_per;stats_avg;stats_stddev;stats_max;stats_total;stats_max_in_range;target_name;target_source;target_package;target_value;target_in_range
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;JobCloverReport.anonymous#~process~QBuild~QFile~QSimpleLogger[#call;JobCloverReport.java;org.server.plugin.report.clover;10;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;CloverPluginModule.anonymous#~configure[!3.anonymous##call;CloverPluginModule.java;org.server.plugin.report.clover;7;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;CloverPluginModule.anonymous#~configure[!4.anonymous##call;CloverPluginModule.java;org.server.plugin.report.clover;5;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;CloverReportPage.anonymous#~onInitialize[!10#load;CloverReportPage.java;org.server.plugin.report.clover;5;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;configure;CloverPluginModule.java;org.server.plugin.report.clover;4;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;paramsOf;CloverReportPage.java;org.server.plugin.report.clover;4;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;CloverReportPage.anonymous#~onInitialize[!5#suggest;CloverReportPage.java;org.server.plugin.report.clover;3;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;parseFilterPatterns;CloverReportPage.java;org.server.plugin.report.clover;3;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;process;JobCloverReport.java;org.server.plugin.report.clover;3;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;CloverPluginModule.anonymous#~configure[!2#getMenuItems;CloverPluginModule.java;org.server.plugin.report.clover;2;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;CloverPluginModule.anonymous#~configure[!4#getTabs;CloverPluginModule.java;org.server.plugin.report.clover;2;
server-plugin-report-clover;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;1,28;0,722;4;;;readFrom;CloverReportData.java;org.server.plugin.report.clover;2;
