scope;metric_id;metric_code;metric_desc;metric_max;metric_min;metric_hint;stats_per;stats_avg;stats_stddev;stats_max;stats_total;stats_max_in_range;target_name;target_source;target_package;target_value;target_in_range
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;DefaultServerConfig;DefaultServerConfig.java;io.onedev.server.product;24;false
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;configure;ProductModule.java;io.onedev.server.product;7;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;configure;ProductConfigurator.java;io.onedev.server.product;3;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;ServerProperties;ServerProperties.java;io.onedev.server.product;2;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;getHttpPort;DefaultServerConfig.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;getHttpsPort;DefaultServerConfig.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;getKeystoreFile;DefaultServerConfig.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;getKeystorePassword;DefaultServerConfig.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;getSessionTimeout;DefaultServerConfig.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;getSshPort;DefaultServerConfig.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;getTrustCertsDir;DefaultServerConfig.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;ProductConfigurator;ProductConfigurator.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;ProductServletConfigurator;ProductServletConfigurator.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;configure;ProductServletConfigurator.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;ProductServletConfigurator.anonymous#~configure~QServletContextHandler[#sessionCreated;ProductServletConfigurator.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;ProductServletConfigurator.anonymous#~configure~QServletContextHandler[#sessionDestroyed;ProductServletConfigurator.java;io.onedev.server.product;1;
server-product;VG;VG_method;McCabe Cyclomatic Complexity;10;;use Extract-method to split the method up;method;3,133;5,784;24;;false;test;Test.java;io.onedev.server.product;1;
server-product;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;0,867;1,962;8;;false;ProductServletConfigurator;ProductServletConfigurator.java;io.onedev.server.product;8;false
server-product;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;0,867;1,962;8;;false;DefaultServerConfig;DefaultServerConfig.java;io.onedev.server.product;1;
server-product;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;0,867;1,962;8;;false;ProductConfigurator;ProductConfigurator.java;io.onedev.server.product;1;
server-product;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;0,867;1,962;8;;false;configure;ProductConfigurator.java;io.onedev.server.product;1;
server-product;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;0,867;1,962;8;;false;configure;ProductServletConfigurator.java;io.onedev.server.product;1;
server-product;PAR;PAR_method;Number of Parameters;5;;Move invoked method or pass an object;method;0,867;1,962;8;;false;ProductServletConfigurator.anonymous#~configure~QServletContextHandler[#sessionCreated;ProductServletConfigurator.java;io.onedev.server.product;1;
